Country,Uri,Popularity,Title,Artist,Album/Single,Genre,Artist_followers,Explicit,Album,Release_date,Track_number,Tracks_in_album,danceability,energy,key,loudness,mode,speechiness,acoustics,instrumentalness,liveliness,valence,tempo,duration_ms,time_signature,Genre_new,Days_since_release,Released_after_2017,Explicit_false,Explicit_true,album,compilation,single,bolero,boy band,country,dance/electronic,else,funk,hip hop,house,indie,jazz,k-pop,latin,metal,opm,pop,r&b/soul,rap,reggae,reggaeton,rock,trap,syuzhet_norm,bing_norm,afinn_norm,nrc_norm,syuzhet,bing,afinn,nrc,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,n_words,anger_norm,anticipation_norm,disgust_norm,fear_norm,joy_norm,sadness_norm,surprise_norm,trust_norm,negative_norm,positive_norm,anger_norm2,anticipation_norm2,disgust_norm2,fear_norm2,joy_norm2,sadness_norm2,surprise_norm2,trust_norm2,negative_norm2,positive_norm2,negative_bog_jr,positive_bog_jr,Bayes,Negative_Bayes,Neutral_Bayes,Positive_Bayes,LDA_Topic,Celebrate,Desire,Explore,Fun,Hope,Love,Nostalgia,Thug,bing_norm_negative,bing_norm_neutral,bing_norm_positive,Argentina,Australia,Austria,Belgium,Brazil,Canada,Chile,Colombia,Costa Rica,Denmark,Ecuador,Finland,France,Germany,Global,Indonesia,Ireland,Italy,Malaysia,Mexico,Netherlands,New Zealand,Norway,Peru,Philippines,Poland,Portugal,Singapore,Spain,Sweden,Switzerland,Taiwan,Turkey,UK,USA,Popu_max,Top10_dummy,Top50_dummy,Cluster
Belgium,https://open.spotify.com/track/7nAfXgeHfDO50upcOjJOaq,281.6,talking to myself,Linkin Park,album,alternative metal,17132813.0,False,One More Light,2017-05-19,3,10,0.593,0.7120000000000001,2,-6.325,0,0.0286,0.00184,0.0,0.128,0.473,124.013,231307,4,metal,1272.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,-1.0,0.0,1.1,0.0,-3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,254.0,0.00393700787401575,0.00393700787401575,0.0,0.0,0.0,0.0078740157480315,0.00393700787401575,0.00393700787401575,0.0118110236220472,0.0118110236220472,0.166666666666667,0.166666666666667,0.0,0.0,0.0,0.33333333333333304,0.166666666666667,0.166666666666667,0.5,0.5,0.0,10.0,-1.0,1.0,0.0,0.0,Hope,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0.0,0.0,english speaking and nordic
Brazil,https://open.spotify.com/track/7nAfXgeHfDO50upcOjJOaq,124.0,talking to myself,Linkin Park,album,alternative metal,17132813.0,False,One More Light,2017-05-19,3,10,0.593,0.7120000000000001,2,-6.325,0,0.0286,0.00184,0.0,0.128,0.473,124.013,231307,4,metal,1272.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,-1.0,0.0,1.1,0.0,-3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,254.0,0.00393700787401575,0.00393700787401575,0.0,0.0,0.0,0.0078740157480315,0.00393700787401575,0.00393700787401575,0.0118110236220472,0.0118110236220472,0.166666666666667,0.166666666666667,0.0,0.0,0.0,0.33333333333333304,0.166666666666667,0.166666666666667,0.5,0.5,0.0,10.0,-1.0,1.0,0.0,0.0,Hope,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0.0,0.0,southern europe and portuguese heritage
Canada,https://open.spotify.com/track/7nAfXgeHfDO50upcOjJOaq,57.6,talking to myself,Linkin Park,album,alternative metal,17132813.0,False,One More Light,2017-05-19,3,10,0.593,0.7120000000000001,2,-6.325,0,0.0286,0.00184,0.0,0.128,0.473,124.013,231307,4,metal,1272.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,-1.0,0.0,1.1,0.0,-3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,254.0,0.00393700787401575,0.00393700787401575,0.0,0.0,0.0,0.0078740157480315,0.00393700787401575,0.00393700787401575,0.0118110236220472,0.0118110236220472,0.166666666666667,0.166666666666667,0.0,0.0,0.0,0.33333333333333304,0.166666666666667,0.166666666666667,0.5,0.5,0.0,10.0,-1.0,1.0,0.0,0.0,Hope,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0.0,0.0,english speaking and nordic
Switzerland,https://open.spotify.com/track/7nAfXgeHfDO50upcOjJOaq,683.55,talking to myself,Linkin Park,album,alternative metal,17132813.0,False,One More Light,2017-05-19,3,10,0.593,0.7120000000000001,2,-6.325,0,0.0286,0.00184,0.0,0.128,0.473,124.013,231307,4,metal,1272.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,-1.0,0.0,1.1,0.0,-3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,254.0,0.00393700787401575,0.00393700787401575,0.0,0.0,0.0,0.0078740157480315,0.00393700787401575,0.00393700787401575,0.0118110236220472,0.0118110236220472,0.166666666666667,0.166666666666667,0.0,0.0,0.0,0.33333333333333304,0.166666666666667,0.166666666666667,0.5,0.5,0.0,10.0,-1.0,1.0,0.0,0.0,Hope,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,59,0.0,0.0,english speaking and nordic
Colombia,https://open.spotify.com/track/7nAfXgeHfDO50upcOjJOaq,64.0,talking to myself,Linkin Park,album,alternative metal,17132813.0,False,One More Light,2017-05-19,3,10,0.593,0.7120000000000001,2,-6.325,0,0.0286,0.00184,0.0,0.128,0.473,124.013,231307,4,metal,1272.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,-1.0,0.0,1.1,0.0,-3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,254.0,0.00393700787401575,0.00393700787401575,0.0,0.0,0.0,0.0078740157480315,0.00393700787401575,0.00393700787401575,0.0118110236220472,0.0118110236220472,0.166666666666667,0.166666666666667,0.0,0.0,0.0,0.33333333333333304,0.166666666666667,0.166666666666667,0.5,0.5,0.0,10.0,-1.0,1.0,0.0,0.0,Hope,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0.0,0.0,spanish speaking
Costa Rica,https://open.spotify.com/track/7nAfXgeHfDO50upcOjJOaq,53.6,talking to myself,Linkin Park,album,alternative metal,17132813.0,False,One More Light,2017-05-19,3,10,0.593,0.7120000000000001,2,-6.325,0,0.0286,0.00184,0.0,0.128,0.473,124.013,231307,4,metal,1272.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,-1.0,0.0,1.1,0.0,-3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,254.0,0.00393700787401575,0.00393700787401575,0.0,0.0,0.0,0.0078740157480315,0.00393700787401575,0.00393700787401575,0.0118110236220472,0.0118110236220472,0.166666666666667,0.166666666666667,0.0,0.0,0.0,0.33333333333333304,0.166666666666667,0.166666666666667,0.5,0.5,0.0,10.0,-1.0,1.0,0.0,0.0,Hope,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0.0,0.0,spanish speaking
Germany,https://open.spotify.com/track/7nAfXgeHfDO50upcOjJOaq,813.4,talking to myself,Linkin Park,album,alternative metal,17132813.0,False,One More Light,2017-05-19,3,10,0.593,0.7120000000000001,2,-6.325,0,0.0286,0.00184,0.0,0.128,0.473,124.013,231307,4,metal,1272.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,-1.0,0.0,1.1,0.0,-3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,254.0,0.00393700787401575,0.00393700787401575,0.0,0.0,0.0,0.0078740157480315,0.00393700787401575,0.00393700787401575,0.0118110236220472,0.0118110236220472,0.166666666666667,0.166666666666667,0.0,0.0,0.0,0.33333333333333304,0.166666666666667,0.166666666666667,0.5,0.5,0.0,10.0,-1.0,1.0,0.0,0.0,Hope,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0.0,0.0,english speaking and nordic
Spain,https://open.spotify.com/track/7nAfXgeHfDO50upcOjJOaq,33.6,talking to myself,Linkin Park,album,alternative metal,17132813.0,False,One More Light,2017-05-19,3,10,0.593,0.7120000000000001,2,-6.325,0,0.0286,0.00184,0.0,0.128,0.473,124.013,231307,4,metal,1272.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,-1.0,0.0,1.1,0.0,-3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,254.0,0.00393700787401575,0.00393700787401575,0.0,0.0,0.0,0.0078740157480315,0.00393700787401575,0.00393700787401575,0.0118110236220472,0.0118110236220472,0.166666666666667,0.166666666666667,0.0,0.0,0.0,0.33333333333333304,0.166666666666667,0.166666666666667,0.5,0.5,0.0,10.0,-1.0,1.0,0.0,0.0,Hope,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,167,0.0,0.0,spanish speaking
Finland,https://open.spotify.com/track/7nAfXgeHfDO50upcOjJOaq,243.2,talking to myself,Linkin Park,album,alternative metal,17132813.0,False,One More Light,2017-05-19,3,10,0.593,0.7120000000000001,2,-6.325,0,0.0286,0.00184,0.0,0.128,0.473,124.013,231307,4,metal,1272.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,-1.0,0.0,1.1,0.0,-3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,254.0,0.00393700787401575,0.00393700787401575,0.0,0.0,0.0,0.0078740157480315,0.00393700787401575,0.00393700787401575,0.0118110236220472,0.0118110236220472,0.166666666666667,0.166666666666667,0.0,0.0,0.0,0.33333333333333304,0.166666666666667,0.166666666666667,0.5,0.5,0.0,10.0,-1.0,1.0,0.0,0.0,Hope,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0.0,0.0,english speaking and nordic
France,https://open.spotify.com/track/7nAfXgeHfDO50upcOjJOaq,42.40000000000001,talking to myself,Linkin Park,album,alternative metal,17132813.0,False,One More Light,2017-05-19,3,10,0.593,0.7120000000000001,2,-6.325,0,0.0286,0.00184,0.0,0.128,0.473,124.013,231307,4,metal,1272.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,-1.0,0.0,1.1,0.0,-3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,254.0,0.00393700787401575,0.00393700787401575,0.0,0.0,0.0,0.0078740157480315,0.00393700787401575,0.00393700787401575,0.0118110236220472,0.0118110236220472,0.166666666666667,0.166666666666667,0.0,0.0,0.0,0.33333333333333304,0.166666666666667,0.166666666666667,0.5,0.5,0.0,10.0,-1.0,1.0,0.0,0.0,Hope,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0.0,0.0,southern europe and portuguese heritage
Indonesia,https://open.spotify.com/track/7nAfXgeHfDO50upcOjJOaq,632.1500000000002,talking to myself,Linkin Park,album,alternative metal,17132813.0,False,One More Light,2017-05-19,3,10,0.593,0.7120000000000001,2,-6.325,0,0.0286,0.00184,0.0,0.128,0.473,124.013,231307,4,metal,1272.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,-1.0,0.0,1.1,0.0,-3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,254.0,0.00393700787401575,0.00393700787401575,0.0,0.0,0.0,0.0078740157480315,0.00393700787401575,0.00393700787401575,0.0118110236220472,0.0118110236220472,0.166666666666667,0.166666666666667,0.0,0.0,0.0,0.33333333333333304,0.166666666666667,0.166666666666667,0.5,0.5,0.0,10.0,-1.0,1.0,0.0,0.0,Hope,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0.0,0.0,southern europe and portuguese heritage
Italy,https://open.spotify.com/track/7nAfXgeHfDO50upcOjJOaq,142.64999999999995,talking to myself,Linkin Park,album,alternative metal,17132813.0,False,One More Light,2017-05-19,3,10,0.593,0.7120000000000001,2,-6.325,0,0.0286,0.00184,0.0,0.128,0.473,124.013,231307,4,metal,1272.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,-1.0,0.0,1.1,0.0,-3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,254.0,0.00393700787401575,0.00393700787401575,0.0,0.0,0.0,0.0078740157480315,0.00393700787401575,0.00393700787401575,0.0118110236220472,0.0118110236220472,0.166666666666667,0.166666666666667,0.0,0.0,0.0,0.33333333333333304,0.166666666666667,0.166666666666667,0.5,0.5,0.0,10.0,-1.0,1.0,0.0,0.0,Hope,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.0,0.0,southern europe and portuguese heritage
Malaysia,https://open.spotify.com/track/7nAfXgeHfDO50upcOjJOaq,1310.15,talking to myself,Linkin Park,album,alternative metal,17132813.0,False,One More Light,2017-05-19,3,10,0.593,0.7120000000000001,2,-6.325,0,0.0286,0.00184,0.0,0.128,0.473,124.013,231307,4,metal,1272.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,-1.0,0.0,1.1,0.0,-3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,254.0,0.00393700787401575,0.00393700787401575,0.0,0.0,0.0,0.0078740157480315,0.00393700787401575,0.00393700787401575,0.0118110236220472,0.0118110236220472,0.166666666666667,0.166666666666667,0.0,0.0,0.0,0.33333333333333304,0.166666666666667,0.166666666666667,0.5,0.5,0.0,10.0,-1.0,1.0,0.0,0.0,Hope,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0.0,1.0,english speaking and nordic
Norway,https://open.spotify.com/track/7nAfXgeHfDO50upcOjJOaq,9.6,talking to myself,Linkin Park,album,alternative metal,17132813.0,False,One More Light,2017-05-19,3,10,0.593,0.7120000000000001,2,-6.325,0,0.0286,0.00184,0.0,0.128,0.473,124.013,231307,4,metal,1272.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,-1.0,0.0,1.1,0.0,-3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,254.0,0.00393700787401575,0.00393700787401575,0.0,0.0,0.0,0.0078740157480315,0.00393700787401575,0.00393700787401575,0.0118110236220472,0.0118110236220472,0.166666666666667,0.166666666666667,0.0,0.0,0.0,0.33333333333333304,0.166666666666667,0.166666666666667,0.5,0.5,0.0,10.0,-1.0,1.0,0.0,0.0,Hope,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,189,0.0,0.0,english speaking and nordic
New Zealand,https://open.spotify.com/track/7nAfXgeHfDO50upcOjJOaq,30.4,talking to myself,Linkin Park,album,alternative metal,17132813.0,False,One More Light,2017-05-19,3,10,0.593,0.7120000000000001,2,-6.325,0,0.0286,0.00184,0.0,0.128,0.473,124.013,231307,4,metal,1272.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,-1.0,0.0,1.1,0.0,-3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,254.0,0.00393700787401575,0.00393700787401575,0.0,0.0,0.0,0.0078740157480315,0.00393700787401575,0.00393700787401575,0.0118110236220472,0.0118110236220472,0.166666666666667,0.166666666666667,0.0,0.0,0.0,0.33333333333333304,0.166666666666667,0.166666666666667,0.5,0.5,0.0,10.0,-1.0,1.0,0.0,0.0,Hope,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0.0,0.0,english speaking and nordic
Peru,https://open.spotify.com/track/7nAfXgeHfDO50upcOjJOaq,36.8,talking to myself,Linkin Park,album,alternative metal,17132813.0,False,One More Light,2017-05-19,3,10,0.593,0.7120000000000001,2,-6.325,0,0.0286,0.00184,0.0,0.128,0.473,124.013,231307,4,metal,1272.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,-1.0,0.0,1.1,0.0,-3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,254.0,0.00393700787401575,0.00393700787401575,0.0,0.0,0.0,0.0078740157480315,0.00393700787401575,0.00393700787401575,0.0118110236220472,0.0118110236220472,0.166666666666667,0.166666666666667,0.0,0.0,0.0,0.33333333333333304,0.166666666666667,0.166666666666667,0.5,0.5,0.0,10.0,-1.0,1.0,0.0,0.0,Hope,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,155,0.0,0.0,spanish speaking
Philippines,https://open.spotify.com/track/7nAfXgeHfDO50upcOjJOaq,117.15,talking to myself,Linkin Park,album,alternative metal,17132813.0,False,One More Light,2017-05-19,3,10,0.593,0.7120000000000001,2,-6.325,0,0.0286,0.00184,0.0,0.128,0.473,124.013,231307,4,metal,1272.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,-1.0,0.0,1.1,0.0,-3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,254.0,0.00393700787401575,0.00393700787401575,0.0,0.0,0.0,0.0078740157480315,0.00393700787401575,0.00393700787401575,0.0118110236220472,0.0118110236220472,0.166666666666667,0.166666666666667,0.0,0.0,0.0,0.33333333333333304,0.166666666666667,0.166666666666667,0.5,0.5,0.0,10.0,-1.0,1.0,0.0,0.0,Hope,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,82,0.0,0.0,southern europe and portuguese heritage
Poland,https://open.spotify.com/track/7nAfXgeHfDO50upcOjJOaq,1219.65,talking to myself,Linkin Park,album,alternative metal,17132813.0,False,One More Light,2017-05-19,3,10,0.593,0.7120000000000001,2,-6.325,0,0.0286,0.00184,0.0,0.128,0.473,124.013,231307,4,metal,1272.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,-1.0,0.0,1.1,0.0,-3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,254.0,0.00393700787401575,0.00393700787401575,0.0,0.0,0.0,0.0078740157480315,0.00393700787401575,0.00393700787401575,0.0118110236220472,0.0118110236220472,0.166666666666667,0.166666666666667,0.0,0.0,0.0,0.33333333333333304,0.166666666666667,0.166666666666667,0.5,0.5,0.0,10.0,-1.0,1.0,0.0,0.0,Hope,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,66,0.0,0.0,english speaking and nordic
Portugal,https://open.spotify.com/track/7nAfXgeHfDO50upcOjJOaq,1216.9000000000005,talking to myself,Linkin Park,album,alternative metal,17132813.0,False,One More Light,2017-05-19,3,10,0.593,0.7120000000000001,2,-6.325,0,0.0286,0.00184,0.0,0.128,0.473,124.013,231307,4,metal,1272.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,-1.0,0.0,1.1,0.0,-3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,254.0,0.00393700787401575,0.00393700787401575,0.0,0.0,0.0,0.0078740157480315,0.00393700787401575,0.00393700787401575,0.0118110236220472,0.0118110236220472,0.166666666666667,0.166666666666667,0.0,0.0,0.0,0.33333333333333304,0.166666666666667,0.166666666666667,0.5,0.5,0.0,10.0,-1.0,1.0,0.0,0.0,Hope,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,64,0.0,0.0,southern europe and portuguese heritage
