year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,mmr,sellingprice
2012,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk2cu510252,ga,47,26467,white,,13500,14000
2012,Toyota,Corolla,S,Sedan,automatic,2t1bu4ee1cc852912,oh,42,33917,black,black,12100,11900
2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk0cu540477,in,36,54810,gray,black,13450,12700
2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk8cu514435,oh,4,28794,red,black,14750,15000
2012,Toyota,Highlander,Base,SUV,automatic,5tdbk3eh8cs131696,nc,35,83534,black,gray,19700,18000
2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk4cu103579,nc,36,75696,white,gray,12350,11600
2012,Toyota,Camry,XLE,Sedan,automatic,4t4bf1fk6cr194098,tn,41,29880,red,tan,15550,16750
2012,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk4cu582439,ga,43,35684,red,beige,12950,13000
2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk2cu014965,tn,24,35195,silver,black,14450,12500
2012,Toyota,Camry,XLE,Sedan,automatic,4t1bf1fk4cu587687,fl,26,37384,gold,beige,13000,10200
2012,Toyota,Corolla,LE,Sedan,automatic,2t1bu4ee8cc786357,az,36,52454,silver,gray,9700,10800
2012,Toyota,Camry,LE,Sedan,automatic,4t4bf1fk4cr171872,oh,43,27045,�,gray,13450,13300
2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk8cu534782,oh,42,25210,red,black,14950,14900
2012,Toyota,Corolla,LE,Sedan,automatic,2t1bu4eexcc855310,va,35,44918,silver,gray,10100,9500
2012,Toyota,Corolla,S,Sedan,automatic,2t1bu4ee7cc806856,az,34,69401,white,black,10250,10100
2012,Toyota,Corolla,LE,Sedan,automatic,2t1bu4ee8cc879203,md,47,13764,red,beige,11800,11800
2012,Toyota,Highlander,Limited,SUV,automatic,5tddk3eh9cs111353,oh,19,29231,�,tan,28500,11600
2012,Toyota,Camry,L,Sedan,automatic,4t4bf1fk3cr255228,md,39,31160,green,gray,13450,12600
2012,Toyota,Highlander,Limited,SUV,automatic,5tddk3eh1cs109502,tn,26,37267,gray,gray,27900,25900
2012,Toyota,Highlander,Limited,SUV,automatic,5tddk3eh4cs115066,va,,23260,black,black,29400,30600
2012,Toyota,Corolla,LE,Sedan,automatic,2t1bu4ee8cc836514,nc,45,68072,gold,beige,8725,9400
2012,Toyota,Corolla,LE,Sedan,automatic,2t1bu4ee6cc888692,va,28,41621,red,gray,10400,9500
2012,Toyota,Camry Hybrid,XLE,Sedan,,4t1bd1fk8cu022445,pa,32,55923,gray,beige,17350,15600
2012,Toyota,Camry,L,Sedan,,4t1bf1fk1cu109968,il,,45372,silver,,12550,12200
2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk5cu147767,il,2,20323,silver,black,15200,12000
2012,Toyota,Highlander,Base,SUV,automatic,5tdbk3eh7cs112217,nj,24,33489,black,beige,22400,19600
2012,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk1cu026881,fl,38,59959,black,gray,11450,10800
2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk1cu577523,oh,37,32665,red,gray,14550,14100
2012,Toyota,Camry,LE,Sedan,automatic,4t4bf1fk6cr165720,oh,39,26661,beige,beige,13500,13100
2012,Toyota,Camry,XLE,Sedan,,4t1bf1fk1cu002919,pa,21,40607,gold,beige,15400,13400
2012,Toyota,Corolla,LE,Sedan,automatic,2t1bu4ee2cc819238,ne,26,67784,silver,gray,8750,8700
2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk8cu571072,tn,36,12895,white,black,15550,14900
2012,Toyota,Camry,LE,Sedan,automatic,4t4bf1fk3cr178487,md,34,33662,green,tan,13050,12800
2012,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk4cu537419,tx,,61737,gray,gray,11350,9900
2012,Toyota,Camry,XLE,Sedan,automatic,4t1bf1fk7cu514720,mo,28,18554,�,gray,16250,15400
2012,Toyota,Camry,LE,Sedan,automatic,4t4bf1fk9cr201724,co,4,60895,gold,tan,11350,11300
2012,Toyota,Camry,SE,Sedan,automatic,4t1bk1fk8cu002511,oh,48,20394,gray,black,17300,18200
2012,Toyota,Camry,XLE,Sedan,automatic,4t1bk1fk6cu507687,nj,34,62715,white,tan,14750,15600
2012,Toyota,Camry,XLE,Sedan,automatic,4t1bk1fk4cu001081,oh,36,20956,beige,beige,18200,17700
2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fkxcu081037,oh,27,29757,gray,gray,14650,13500
2012,Toyota,Corolla,LE,Sedan,automatic,2t1bu4ee1cc858175,ga,21,69779,�,gray,8650,8900
2012,Toyota,Highlander,Limited,SUV,,5tddk3eh8cs102594,pa,28,30030,black,gray,28500,26000
